"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 11:58:06 GMT 2025","Sun Jan 12 11:58:06 GMT 2025","921","Home page tests","","","","","should display at least one user",""
"passed","Sun Jan 12 11:57:57 GMT 2025","Sun Jan 12 11:57:59 GMT 2025","2017","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Jan 12 11:58:20 GMT 2025","Sun Jan 12 11:58:20 GMT 2025","603","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Jan 12 11:58:20 GMT 2025","Sun Jan 12 11:58:21 GMT 2025","154","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Jan 12 11:58:10 GMT 2025","Sun Jan 12 11:58:11 GMT 2025","1638","Login page tests","","","","","should login successfully",""
"passed","Sun Jan 12 11:58:07 GMT 2025","Sun Jan 12 11:58:07 GMT 2025","403","Home page tests","","","","","should open add more page",""
"passed","Sun Jan 12 11:58:19 GMT 2025","Sun Jan 12 11:58:20 GMT 2025","1103","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Jan 12 11:58:11 GMT 2025","Sun Jan 12 11:58:12 GMT 2025","887","Login page tests","","","","","should fail to login",""
"passed","Sun Jan 12 11:57:59 GMT 2025","Sun Jan 12 11:58:01 GMT 2025","2356","Edit page tests","","","","","should successfully edit",""
"passed","Sun Jan 12 11:58:07 GMT 2025","Sun Jan 12 11:58:07 GMT 2025","325","Home page tests","","","","","should logout",""
"passed","Sun Jan 12 11:58:14 GMT 2025","Sun Jan 12 11:58:16 GMT 2025","2206","Register page tests","","","","","should register successfully",""
